Day,RainProbability
1,0.3745401188473625
2,0.9507143064099162
3,0.7319939418114051
4,0.5986584841970366
5,0.15601864044243652
6,0.15599452033620265
7,0.05808361216819946
8,0.8661761457749352
9,0.6011150117432088
10,0.7080725777960455
11,0.020584494295802447
12,0.9699098521619943
13,0.8324426408004217
14,0.21233911067827616
15,0.18182496720710062
16,0.18340450985343382
17,0.3042422429595377
18,0.5247564316322378
19,0.43194501864211576
20,0.2912291401980419
21,0.6118528947223795
22,0.13949386065204183
23,0.29214464853521815
24,0.3663618432936917
25,0.45606998421703593
26,0.7851759613930136
27,0.19967378215835974
28,0.5142344384136116
29,0.5924145688620425
30,0.046450412719997725
31,0.6075448519014384
32,0.17052412368729153
33,0.06505159298527952
34,0.9488855372533332
35,0.9656320330745594
36,0.8083973481164611
37,0.3046137691733707
38,0.09767211400638387
39,0.6842330265121569
40,0.4401524937396013
41,0.12203823484477883
42,0.4951769101112702
43,0.034388521115218396
44,0.9093204020787821
45,0.2587799816000169
46,0.662522284353982
47,0.31171107608941095
48,0.5200680211778108
49,0.5467102793432796
50,0.18485445552552704
51,0.9695846277645586
52,0.7751328233611146
53,0.9394989415641891
54,0.8948273504276488
55,0.5978999788110851
56,0.9218742350231168
57,0.0884925020519195
58,0.1959828624191452
59,0.045227288910538066
60,0.32533033076326434
61,0.388677289689482
62,0.2713490317738959
63,0.8287375091519293
64,0.3567533266935893
65,0.28093450968738076
66,0.5426960831582485
67,0.14092422497476265
68,0.8021969807540397
69,0.07455064367977082
70,0.9868869366005173
71,0.7722447692966574
72,0.1987156815341724
73,0.005522117123602399
74,0.8154614284548342
75,0.7068573438476171
76,0.7290071680409873
77,0.7712703466859457
78,0.07404465173409036
79,0.3584657285442726
80,0.11586905952512971
81,0.8631034258755935
82,0.6232981268275579
83,0.3308980248526492
84,0.06355835028602363
85,0.3109823217156622
86,0.32518332202674705
87,0.7296061783380641
88,0.6375574713552131
89,0.8872127425763265
90,0.4722149251619493
91,0.1195942459383017
92,0.713244787222995
93,0.7607850486168974
94,0.5612771975694962
95,0.770967179954561
96,0.49379559636439074
97,0.5227328293819941
98,0.42754101835854963
99,0.02541912674409519
100,0.10789142699330445
101,0.03142918568673425
102,0.6364104112637804
103,0.3143559810763267
104,0.5085706911647028
105,0.907566473926093
106,0.24929222914887494
107,0.41038292303562973
108,0.7555511385430487
109,0.22879816549162246
110,0.07697990982879299
111,0.289751452913768
112,0.16122128725400442
113,0.9296976523425731
114,0.808120379564417
115,0.6334037565104235
116,0.8714605901877177
117,0.8036720768991145
118,0.18657005888603584
119,0.8925589984899778
120,0.5393422419156507
121,0.8074401551640625
122,0.8960912999234932
123,0.3180034749718639
124,0.11005192452767676
125,0.22793516254194168
126,0.4271077886262563
127,0.8180147659224931
128,0.8607305832563434
129,0.006952130531190703
130,0.5107473025775657
131,0.417411003148779
132,0.22210781047073025
133,0.1198653673336828
134,0.33761517140362796
135,0.9429097039125192
136,0.32320293202075523
137,0.5187906217433661
138,0.7030189588951778
139,0.363629602379294
140,0.9717820827209607
141,0.9624472949421112
142,0.25178229582536416
143,0.49724850589238545
144,0.30087830981676966
145,0.2848404943774676
146,0.036886947354532795
147,0.6095643339798968
148,0.5026790232288615
149,0.05147875124998935
150,0.27864646423661144
151,0.9082658859666537
152,0.23956189066697242
153,0.1448948720912231
154,0.489452760277563
155,0.9856504541106007
156,0.2420552715115004
157,0.6721355474058786
158,0.7616196153287176
159,0.23763754399239967
160,0.7282163486118596
161,0.3677831327192532
162,0.6323058305935795
163,0.6335297107608947
164,0.5357746840747585
165,0.0902897700544083
166,0.835302495589238
167,0.32078006497173583
168,0.18651851039985423
169,0.040775141554763916
170,0.5908929431882418
171,0.6775643618422824
172,0.016587828927856152
173,0.512093058299281
174,0.22649577519793795
175,0.6451727904094499
176,0.17436642900499144
177,0.690937738102466
178,0.3867353463005374
179,0.9367299887367345
180,0.13752094414599325
181,0.3410663510502585
182,0.11347352124058907
183,0.9246936182785628
184,0.877339353380981
185,0.2579416277151556
186,0.659984046034179
187,0.8172222002012158
188,0.5552008115994623
189,0.5296505783560065
190,0.24185229090045168
191,0.09310276780589921
192,0.8972157579533268
193,0.9004180571633305
194,0.6331014572732679
195,0.3390297910487007
196,0.3492095746126609
197,0.7259556788702394
198,0.8971102599525771
199,0.8870864242651173
200,0.7798755458576239
201,0.6420316461542878
202,0.08413996499504883
203,0.16162871409461377
204,0.8985541885270792
205,0.6064290596595899
206,0.009197051616629648
207,0.1014715428660321
208,0.6635017691080558
209,0.005061583846218687
210,0.16080805141749865
211,0.5487337893665861
212,0.6918951976926933
213,0.6519612595026005
214,0.22426930946055978
215,0.7121792213475359
216,0.23724908749680007
217,0.3253996981592677
218,0.7464914051180241
219,0.6496328990472147
220,0.8492234104941779
221,0.6576128923003434
222,0.5683086033354716
223,0.09367476782809248
224,0.3677158030594335
225,0.26520236768172545
226,0.24398964337908358
227,0.9730105547524456
228,0.3930977246667604
229,0.8920465551771133
230,0.6311386259972629
231,0.7948113035416484
232,0.5026370931051921
233,0.5769038846263591
234,0.4925176938188639
235,0.1952429877980445
236,0.7224521152615053
237,0.2807723624408558
238,0.02431596643145384
239,0.6454722959071678
240,0.17711067940704894
241,0.9404585843529143
242,0.9539285770025874
243,0.9148643902204485
244,0.3701587002554444
245,0.015456616528867428
246,0.9283185625877254
247,0.42818414831731433
248,0.9666548190436696
249,0.9636199770892528
250,0.8530094554673601
251,0.2944488920695857
252,0.38509772860192526
253,0.8511366715168569
254,0.31692200515627766
255,0.1694927466860925
256,0.5568012624583502
257,0.936154774160781
258,0.696029796674973
259,0.570061170089365
260,0.09717649377076854
261,0.6150072266991697
262,0.9900538501042633
263,0.14008401523652403
264,0.5183296523637367
265,0.8773730719279554
266,0.7407686177542044
267,0.697015740995268
268,0.7024840839871093
269,0.35949115121975517
270,0.29359184426449336
271,0.8093611554785136
272,0.8101133946791808
273,0.8670723185801037
274,0.9132405525564713
275,0.5113423988609378
276,0.5015162946871996
277,0.7982951789667752
278,0.6499639307777652
279,0.7019668772577033
280,0.795792669436101
281,0.8900053418175663
282,0.3379951568515358
283,0.375582952639944
284,0.093981939840869
285,0.578280140996174
286,0.035942273796742086
287,0.46559801813246016
288,0.5426446347075766
289,0.2865412521282844
290,0.5908332605690108
291,0.03050024993904943
292,0.03734818874921442
293,0.8226005606596583
294,0.3601906414112629
295,0.12706051265188478
296,0.5222432600548044
297,0.7699935530986108
298,0.21582102749684318
299,0.6228904758190003
300,0.085347464993768
301,0.0516817211686077
302,0.531354631568148
303,0.5406351216101065
304,0.6374299014982066
305,0.7260913337226615
306,0.9758520794625346
307,0.5163003483011953
308,0.32295647294124596
309,0.7951861947687037
310,0.2708322512620742
311,0.4389714207056361
312,0.07845638134226596
313,0.02535074341545751
314,0.9626484146779251
315,0.8359801205122058
316,0.695974206093698
317,0.4089529444142699
318,0.17329432007084578
